player_en,player_ko,season,team,pa,ab,h,double,triple,hr,bb,ibb,so,hbp,sf
Brett Pill,브렛 필,2015,KIA,591,536,174,35,1,22,43,6,74,3,9
Brad Snyder,브래드 스나이더,2015,Nexen,487,431,121,26,1,26,37,0,135,11,5
Zach Lutz,잭 루츠,2015,Doosan,30,27,3,0,0,1,2,0,6,0,1
Nyjer Morgan,나이저 모건,2015,Hanwha,42,33,9,2,0,0,4,0,8,4,1
Jake Fox,제이크 폭스,2015,Hanwha,121,108,30,4,0,7,8,1,27,3,2
Jack Hannahan,잭 한나한,2015,LG,126,107,35,9,0,4,12,0,31,3,3
Luis Jimenez,루이스 히메네스,2015,LG,299,279,87,17,2,11,12,1,48,4,4
Jim Adduci,짐 아두치,2015,Lotte,594,526,165,34,5,28,55,8,118,8,4
Eric Thames,에릭 테임즈,2015,NC,595,472,180,42,5,47,103,11,91,13,7
Yamaico Navarro,야마이코 나바로,2015,Samsung,643,534,153,19,1,48,93,8,72,6,9
Andrew Brown,앤드류 브라운,2015,SK,539,464,121,21,2,28,66,4,127,7,2
Andy Marte,앤디 마르테,2015,KT,487,425,148,32,1,20,51,7,60,2,8
Brett Pill,브렛 필,2016,KIA,544,499,156,37,1,20,33,0,70,5,7
Danny Dorn,대니 돈,2016,Nexen,497,417,123,33,1,16,70,4,72,5,4
Nick Evans,닉 에반스,2016,Doosan,481,400,123,31,0,24,69,0,90,5,7
Wilin Rosario,윌린 로사리오,2016,Hanwha,532,492,158,31,2,33,33,3,90,4,2
Luis Jimenez,루이스 히메네스,2016,LG,579,523,161,36,0,26,39,2,67,10,6
Jim Adduci,짐 아두치,2016,Lotte,272,247,72,18,3,7,18,1,59,1,5
Eric Thames,에릭 테임즈,2016,NC,529,436,140,30,3,40,74,6,103,12,7
Hector Gomez,헥터 고메즈,2016,SK,492,456,129,31,0,21,25,2,87,5,4
Justin Maxwell,저스틴 맥스웰,2016,Lotte,99,80,23,3,1,4,15,0,25,3,1
Andy Marte,앤디 마르테,2016,KT,381,325,86,16,0,22,50,0,51,1,5
