season,team,player_en,player_ko,kbo_player_id,verified_on
2015,KIA,Evan Meek,에반 믹,65630,2026-09-22
2015,KIA,Josh Stinson,조쉬 스틴슨,65658,2026-09-22
2015,KIA,Philip Humber,필립 험버,65659,2026-09-22
2015,삼성,Alfredo Fígaro,알프레도 피가로,65444,2026-09-22
2015,삼성,Tyler Cloyd,타일러 클로이드,65425,2026-09-22
2015,LG,Lucas Harrell,루카스 하렐,65137,2026-09-22
2015,LG,Henry Sosa,헨리 소사,62698,2026-09-22
2015,두산,Dustin Nippert,더스틴 니퍼트,61240,2026-09-22
2015,두산,Anthony Swarzak,앤서니 스와잭,65219,2026-09-22
2015,두산,Yunesky Maya,유네스키 마야,64219,2026-09-22
2015,롯데,Brooks Raley,브룩스 레일리,65546,2026-09-22
2015,롯데,Josh Lindblom,조쉬 린드블럼,65543,2026-09-22
2015,한화,Mitch Talbot,미치 탈보트,62451,2026-09-22
2015,한화,Shane Youman,셰인 유먼,62597,2026-09-22
2015,한화,Esmil Rogers,에스밀 로저스,65742,2026-09-22
2015,NC,Eric Hacker,에릭 해커,63938,2026-09-22
2015,NC,Zach Stewart,재크 스튜어트,65931,2026-09-22
2015,NC,Charlie Shirek,찰스 쉬렉,63939,2026-09-22
2015,SK,Merrill Kelly,메릴 켈리,65856,2026-09-22
2015,SK,Chris Seddon,크리스 세든,63810,2026-09-22
2015,SK,Travis Banwart,트래비스 밴와트,67845,2026-09-22
2015,넥센,Ryan Feierabend,라이언 피어밴드,65331,2026-09-22
2015,넥센,Andy Van Hekken,앤디 밴 헤켄,62322,2026-09-22
2015,KT,Andy Sisco,앤드루 시스코,64049,2026-09-22
2015,KT,Justin Germano,저스틴 저마노,61434,2026-09-22
2015,KT,Chris Oxspring,크리스 옥스프링,77199,2026-09-22
2015,KT,Phil Irwin,필 어윈,65036,2026-09-22
2016,KIA,Héctor Noesí,엑토르 노에시,66643,2026-09-22
2016,KIA,Zeke Spruill,지크 스프루일,66628,2026-09-22
2016,삼성,Arnold Leon,아놀드 레온,66446,2026-09-22
2016,삼성,Allen Webster,앨런 웹스터,66402,2026-09-22
2016,삼성,Yohan Flande,요한 플란데,66423,2026-09-22
2016,삼성,Collin Balester,콜린 벨레스터,66440,2026-09-22
2016,LG,David Huff,데이비드 허프,66138,2026-09-22
2016,LG,Scott Copeland,스콧 코플랜드,66154,2026-09-22
2016,LG,Henry Sosa,헨리 소사,62698,2026-09-22
2016,두산,Dustin Nippert,더스틴 니퍼트,61240,2026-09-22
2016,두산,Michael Bowden,마이클 보우덴,66226,2026-09-22
2016,롯데,Brooks Raley,브룩스 레일리,65546,2026-09-22
2016,롯데,Josh Lindblom,조쉬 린드블럼,65543,2026-09-22
