name_en,kbo_debut,found,key_mlbam,mlb_first,mlb_last,n_matches,has_held_seasons
Socrates Brito,2022,True,593647.0,2015.0,2019.0,1,False
Ronnie Dawson,2023,True,669008.0,2021.0,2022.0,1,True
Austin Dean,2023,True,621573.0,2018.0,2022.0,1,True
Guillermo Heredia,2023,True,628338.0,2016.0,2022.0,1,True
Henry Ramos,2022,True,592656.0,2021.0,2023.0,1,True
Jared Young,2024,True,676724.0,2022.0,2026.0,1,True
Yonathan Perlaza,2024,False,,,,0,False
Victor Reyes,2024,True,622682.0,2018.0,2022.0,1,True
Matt Davidson,2024,True,571602.0,2013.0,2022.0,1,True
David MacKinnon,2024,True,676950.0,2022.0,2022.0,1,True
Ruben Cardenas,2024,False,,,,0,False
Lewin Diaz,2024,True,650331.0,2020.0,2022.0,1,True
Anthony Alford,2022,True,546990.0,2017.0,2022.0,1,True
Jose Rojas,2023,True,670351.0,2021.0,2022.0,1,True
Brian O'Grady,2023,True,657434.0,2019.0,2021.0,1,True
Nick Williams,2023,True,608384.0,2017.0,2021.0,1,True
Niko Goodrum,2023,True,592348.0,2017.0,2024.0,1,True
Jason Martin,2023,True,641829.0,2019.0,2021.0,1,True
Yasiel Puig,2022,True,624577.0,2013.0,2019.0,1,False
Mike Tauchman,2022,True,643565.0,2017.0,2025.0,1,True
Rio Ruiz,2022,True,547004.0,2016.0,2021.0,1,True
Robel Garcia,2022,True,596825.0,2019.0,2021.0,1,True
DJ Peters,2022,True,656847.0,2021.0,2021.0,1,True
Zach Reks,2022,True,676646.0,2021.0,2022.0,1,True
Nick Martini,2022,True,605361.0,2018.0,2025.0,1,True
Kevin Cron,2022,True,605196.0,2019.0,2020.0,1,False
Juan Lagares,2022,True,501571.0,2013.0,2022.0,1,True
David Freitas,2021,True,571679.0,2017.0,2019.0,1,False
Will Craig,2021,True,643269.0,2020.0,2021.0,1,True
Ryon Healy,2021,True,592387.0,2016.0,2020.0,1,False
Hernan Perez,2021,True,541650.0,2012.0,2021.0,1,True
Justin Bour,2021,True,571506.0,2014.0,2019.0,1,False
Zoilo Almonte,2021,True,501660.0,2013.0,2014.0,1,False
Preston Tucker,2019,True,605512.0,2015.0,2018.0,1,False
Jose Miguel Fernandez,2019,True,622774.0,2018.0,2019.0,4,False
Roberto Ramos,2020,False,,,,0,False
Dixon Machado,2020,True,553988.0,2015.0,2022.0,1,True
Aaron Altherr,2020,True,571437.0,2014.0,2019.0,1,False
Tyler Saladino,2020,True,573135.0,2015.0,2019.0,1,False
Daniel Palka,2020,True,594953.0,2018.0,2019.0,1,False
Tyler White,2020,True,643603.0,2016.0,2019.0,1,False
Taylor Motter,2020,True,600301.0,2016.0,2023.0,1,True
Addison Russell,2020,True,608365.0,2015.0,2019.0,1,False
Brandon Barnes,2020,True,488681.0,2012.0,2018.0,1,False
Jeremy Hazelbaker,2019,True,571757.0,2016.0,2017.0,1,False
Tommy Joseph,2019,True,571830.0,2016.0,2017.0,1,False
Carlos Peguero,2019,True,451713.0,2011.0,2015.0,1,False
Carlos Asuaje,2019,True,641319.0,2016.0,2018.0,1,False
Jacob Wilson,2019,True,607111.0,2021.0,2021.0,1,True
Christian Bethancourt,2019,False,,,,0,False
Jake Smolinski,2019,True,519295.0,2014.0,2018.0,1,False
Mac Williamson,2019,True,607776.0,2015.0,2019.0,1,False
Roger Bernadina,2017,True,465668.0,2008.0,2014.0,1,False
Michael Choice,2017,True,574831.0,2013.0,2015.0,1,False
Andy Burns,2017,True,542992.0,2016.0,2021.0,1,True
Adonis Garcia,2018,True,611177.0,2015.0,2017.0,1,False
Jerry Sands,2018,True,543742.0,2011.0,2016.0,1,False
Jimmy Paredes,2018,True,517370.0,2011.0,2016.0,1,False
Scott Van Slyke,2018,False,,,,0,False
Jared Hoying,2018,True,592419.0,2016.0,2021.0,1,True
Mel Rojas Jr.,2017,True,121404.0,1990.0,1999.0,1,False
Xavier Scruggs,2017,True,489305.0,2014.0,2016.0,1,False
Darin Ruf,2017,False,,,,0,False
Danny Worth,2017,True,519445.0,2010.0,2016.0,1,False
James Loney,2017,True,425766.0,2006.0,2016.0,1,False
Jamie Romak,2017,True,457449.0,2014.0,2015.0,1,False
Johnny Monell,2017,True,476192.0,2013.0,2015.0,1,False
Jim Adduci,2015,True,451192.0,2013.0,2019.0,2,False
Aarom Baldiris,2016,False,,,,0,False
Danny Dorn,2016,True,457760.0,2015.0,2015.0,1,False
Nick Evans,2016,True,452783.0,2008.0,2014.0,1,False
Hector Gomez,2016,True,467143.0,2011.0,2015.0,1,False
Justin Maxwell,2016,True,452239.0,2007.0,2015.0,1,False
Wilin Rosario,2016,True,501647.0,2011.0,2015.0,1,False
Brett Pill,2015,True,489209.0,2011.0,2013.0,1,False
Brad Snyder,2015,True,430957.0,2010.0,2014.0,1,False
Zach Lutz,2015,True,518963.0,2012.0,2013.0,1,False
Deibinson Romero,2015,False,,,,0,False
Nyjer Morgan,2015,True,460579.0,2007.0,2014.0,1,False
Jake Fox,2015,True,444844.0,2007.0,2011.0,1,False
Jack Hannahan,2015,True,435219.0,2006.0,2014.0,1,False
Luis Jimenez,2015,True,499864.0,2013.0,2015.0,2,False
Eric Thames,2015,False,,,,0,False
Yamaico Navarro,2015,True,501605.0,2010.0,2013.0,1,False
Andrew Brown,2015,True,518500.0,2011.0,2014.0,2,False
Andy Marte,2015,True,429708.0,2005.0,2014.0,1,False
Dan Black,2015,False,,,,0,False
