name_en,mlb_record,statcast_2021_plus
Ronnie Dawson,yes,yes
Austin Dean,yes,yes
Guillermo Heredia,yes,yes
Henry Ramos,yes,yes
Jared Young,yes,yes
Victor Reyes,yes,yes
Matt Davidson,yes,yes
David MacKinnon,yes,yes
Lewin Diaz,yes,yes
Anthony Alford,yes,yes
Jose Rojas,yes,yes
Brian O'Grady,yes,yes
Niko Goodrum,yes,yes
Jason Martin,yes,yes
Mike Tauchman,yes,yes
Rio Ruiz,yes,yes
Robel Garcia,yes,yes
DJ Peters,yes,yes
Zach Reks,yes,yes
Nick Martini,yes,yes
Juan Lagares,yes,yes
Will Craig,yes,yes
Hernan Perez,yes,yes
Taylor Motter,yes,yes
Jacob Wilson,yes,yes
Christian Bethancourt,yes,yes
Andy Burns,yes,yes
Darin Ruf,yes,yes
Socrates Brito,yes,no
Nick Williams,yes,no
Yasiel Puig,yes,no
Kevin Cron,yes,no
David Freitas,yes,no
Ryon Healy,yes,no
Justin Bour,yes,no
Zoilo Almonte,yes,no
Preston Tucker,yes,no
Jose Miguel Fernandez,yes,no
Dixon Machado,yes,no
Aaron Altherr,yes,no
Tyler Saladino,yes,no
Daniel Palka,yes,no
Tyler White,yes,no
Addison Russell,yes,no
Brandon Barnes,yes,no
Jeremy Hazelbaker,yes,no
Tommy Joseph,yes,no
Carlos Peguero,yes,no
Carlos Asuaje,yes,no
Jake Smolinski,yes,no
Mac Williamson,yes,no
Roger Bernadina,yes,no
Michael Choice,yes,no
Adonis Garcia,yes,no
Jerry Sands,yes,no
Jimmy Paredes,yes,no
Scott Van Slyke,yes,no
Jared Hoying,yes,no
Xavier Scruggs,yes,no
Danny Worth,yes,no
James Loney,yes,no
Jamie Romak,yes,no
Johnny Monell,yes,no
Jim Adduci,yes,no
Danny Dorn,yes,no
Nick Evans,yes,no
Hector Gomez,yes,no
Justin Maxwell,yes,no
Wilin Rosario,yes,no
Brett Pill,yes,no
Brad Snyder,yes,no
Zach Lutz,yes,no
Nyjer Morgan,yes,no
Jake Fox,yes,no
Jack Hannahan,yes,no
Luis Jimenez,yes,no
Eric Thames,yes,no
Yamaico Navarro,yes,no
Andrew Brown,yes,no
Andy Marte,yes,no
Jose Pirela,yes,no
Yonathan Perlaza,no,no
Ruben Cardenas,no,no
Roberto Ramos,no,no
Mel Rojas Jr.,no,no
Aarom Baldiris,no,no
Deibinson Romero,no,no
Dan Black,no,no
