player_en,n_candidates,key_mlbam,mlb_first,mlb_last,kbo_first,kbo_last,candidates
Ronnie Dawson,1,669008,2021.0,2022.0,2023,2024,669008 (2021-2022)
Austin Dean,1,621573,2018.0,2022.0,2023,2024,621573 (2018-2022)
Guillermo Heredia,1,628338,2016.0,2022.0,2023,2024,628338 (2016-2022)
Henry Ramos,1,592656,2021.0,2023.0,2022,2024,592656 (2021-2023)
Jared Young,1,676724,2022.0,2026.0,2024,2024,676724 (2022-2026)
Victor Reyes,1,622682,2018.0,2022.0,2024,2024,622682 (2018-2022)
Matt Davidson,1,571602,2013.0,2022.0,2024,2024,571602 (2013-2022)
David MacKinnon,1,676950,2022.0,2022.0,2024,2024,676950 (2022-2022)
Lewin Diaz,1,650331,2020.0,2022.0,2024,2024,650331 (2020-2022)
Anthony Alford,1,546990,2017.0,2022.0,2022,2023,546990 (2017-2022)
Jose Rojas,1,670351,2021.0,2022.0,2023,2023,670351 (2021-2022)
Brian O'Grady,1,657434,2019.0,2021.0,2023,2023,657434 (2019-2021)
Niko Goodrum,1,592348,2017.0,2024.0,2023,2023,592348 (2017-2024)
Jason Martin,1,641829,2019.0,2021.0,2023,2023,641829 (2019-2021)
Mike Tauchman,1,643565,2017.0,2025.0,2022,2022,643565 (2017-2025)
Rio Ruiz,1,547004,2016.0,2021.0,2022,2022,547004 (2016-2021)
Robel Garcia,1,596825,2019.0,2021.0,2022,2022,596825 (2019-2021)
DJ Peters,1,656847,2021.0,2021.0,2022,2022,656847 (2021-2021)
Zach Reks,1,676646,2021.0,2022.0,2022,2023,676646 (2021-2022)
Nick Martini,1,605361,2018.0,2025.0,2022,2022,605361 (2018-2025)
Juan Lagares,1,501571,2013.0,2022.0,2022,2022,501571 (2013-2022)
Will Craig,1,643269,2020.0,2021.0,2021,2021,643269 (2020-2021)
Hernan Perez,1,541650,2012.0,2021.0,2021,2021,541650 (2012-2021)
Taylor Motter,1,600301,2016.0,2023.0,2020,2020,600301 (2016-2023)
Jacob Wilson,1,607111,,,2019,2019,607111 (2021-2021); 805779 (2024-2026)
Christian Bethancourt,1,542194,2013.0,2024.0,2019,2019,542194 (2013-2024)
Andy Burns,1,542992,2016.0,2021.0,2017,2018,542992 (2016-2021)
Darin Ruf,1,573131,2012.0,2023.0,2017,2019,573131 (2012-2023)
