kbo_name_ko,name_en
소크라테스 브리토,Socrates Brito
로니 도슨,Ronnie Dawson
오스틴 딘,Austin Dean
기예르모 에레디아,Guillermo Heredia
헨리 라모스,Henry Ramos
제러드 영,Jared Young
요나단 페라자,Yonathan Perlaza
빅터 레이예스,Victor Reyes
맷 데이비슨,Matt Davidson
데이비드 맥키넌,David MacKinnon
루벤 카데나스,Ruben Cardenas
르윈 디아즈,Lewin Diaz
앤서니 알포드,Anthony Alford
호세 로하스,Jose Rojas
브라이언 오그레디,Brian O'Grady
닉 윌리엄스,Nick Williams
니코 구드럼,Niko Goodrum
제이슨 마틴,Jason Martin
야시엘 푸이그,Yasiel Puig
마이크 터크먼,Mike Tauchman
리오 루이즈,Rio Ruiz
로벨 가르시아,Robel Garcia
DJ 피터스,DJ Peters
잭 렉스,Zach Reks
닉 마티니,Nick Martini
케빈 크론,Kevin Cron
후안 라가레스,Juan Lagares
데이비드 프레이타스,David Freitas
윌 크레익,Will Craig
라이온 힐리,Ryon Healy
에르난 페레즈,Hernan Perez
저스틴 보어,Justin Bour
조일로 알몬테,Zoilo Almonte
프레스턴 터커,Preston Tucker
호세 미구엘 페르난데스,Jose Miguel Fernandez
로베르토 라모스,Roberto Ramos
딕슨 마차도,Dixon Machado
애런 알테어,Aaron Altherr
타일러 살라디노,Tyler Saladino
다니엘 팔카,Daniel Palka
타일러 화이트,Tyler White
테일러 모터,Taylor Motter
에디슨 러셀,Addison Russell
브랜든 반즈,Brandon Barnes
제러미 해즐베이커,Jeremy Hazelbaker
토미 조셉,Tommy Joseph
카를로스 페게로,Carlos Peguero
카를로스 아수아헤,Carlos Asuaje
제이콥 윌슨,Jacob Wilson
크리스티안 베탄코트,Christian Bethancourt
제이크 스몰린스키,Jake Smolinski
맥 윌리엄슨,Mac Williamson
로저 버나디나,Roger Bernadina
마이클 초이스,Michael Choice
앤디 번즈,Andy Burns
아도니스 가르시아,Adonis Garcia
제리 샌즈,Jerry Sands
지미 파레디스,Jimmy Paredes
스캇 반슬라이크,Scott Van Slyke
제라드 호잉,Jared Hoying
멜 로하스 주니어,Mel Rojas Jr.
재비어 스크럭스,Xavier Scruggs
다린 러프,Darin Ruf
대니 워스,Danny Worth
제임스 로니,James Loney
제이미 로맥,Jamie Romak
조니 모넬,Johnny Monell
짐 아두치,Jim Adduci
아롬 발디리스,Aarom Baldiris
대니 돈,Danny Dorn
닉 에반스,Nick Evans
헥터 고메즈,Hector Gomez
저스틴 맥스웰,Justin Maxwell
윌린 로사리오,Wilin Rosario
브렛 필,Brett Pill
브래드 스나이더,Brad Snyder
잭 루츠,Zach Lutz
데이빈슨 로메로,Deibinson Romero
나이저 모건,Nyjer Morgan
제이크 폭스,Jake Fox
잭 한나한,Jack Hannahan
루이스 히메네스,Luis Jimenez
에릭 테임즈,Eric Thames
야마이코 나바로,Yamaico Navarro
앤드류 브라운,Andrew Brown
앤디 마르테,Andy Marte
댄 블랙,Dan Black
