player_en,mlb_record,register_name,note
Alessandro Maestri,no,,
Andrew Gagnon,yes,Drew Gagnon,
Andy Van Hekken,yes,,MLB 2002 — before our 2014+ holdings
Arthur Lewicki,yes,Artie Lewicki,
Bennett Lively,yes,Ben Lively,
Bo Takahashi,no,,called up by ARI but never appeared in an MLB game
Braulio Lara,no,,
Brock Dykxhoorn,no,,
Chadwick Bell,yes,Chad Bell,
Charlie Shirek,no,,
Christopher Flexen,yes,Chris Flexen,
Dennis Wright,yes,Mike Wright Jr.,KBO roster romanisation of Dennis Michael Wright Jr.
Dylan File,no,,
Ian McKinney,no,,
Josh Lowey,no,,
Keisho Shirakawa,no,,
Mario Sanchez,no,,
Matthew Dermody,yes,Matt Dermody,
Nicholas Kingham,yes,Nick Kingham,
Nick Additon,no,,
Ronnie Williams,no,,
Ryan Weiss,yes,,MLB debut 2026-03-27 — outside our 2014-2024 holdings
Shane Youman,yes,,
Sugar Marimon,yes,Sugar Ray Marimon,
Travis Banwart,no,,
Tyler Eppler,no,,
Wang Wei-chung,yes,Wei-Chung Wang,
Wesley Parsons,yes,Wes Parsons,
William Crowe,yes,Wil Crowe,
Zach Petrick,no,,
