player_en,kbo_first,kbo_last,kbo_seasons,n_candidates,key_mlbam,mlb_first,mlb_last,candidates,mlb_record
Aaron Brooks,2020,2021,2,1,605156,2014.0,2026.0,605156 (2014-2026),True
Aaron Wilkerson,2023,2024,2,1,658792,2017.0,2019.0,658792 (2017-2019),True
Adam Plutko,2022,2023,2,1,592644,2016.0,2021.0,592644 (2016-2021),True
Adonis Medina,2023,2023,1,1,658431,2020.0,2022.0,658431 (2020-2022),True
Adrian Sampson,2020,2020,1,1,592716,2016.0,2022.0,592716 (2016-2022),True
Albert Suárez,2022,2023,2,1,544150,2016.0,2026.0,544150 (2016-2026),True
Alessandro Maestri,2016,2016,1,0,,,,,False
Alexi Ogando,2017,2017,1,1,468396,2010.0,2018.0,468396 (2010-2018),True
Alfredo Fígaro,2015,2015,1,1,451628,2009.0,2014.0,451628 (2009-2014),True
Allen Webster,2016,2016,1,1,543903,2013.0,2019.0,543903 (2013-2019),True
Andrew Anderson,2024,2024,1,0,,,,,True
Andrew Gagnon,2020,2020,1,1,543193,,,,True
Andrew Suárez,2021,2021,1,1,605498,2018.0,2023.0,605498 (2018-2023),True
Andy Sisco,2015,2015,1,1,434878,2005.0,2007.0,434878 (2005-2007),True
Andy Van Hekken,2015,2017,3,0,,,,,True
Anthony Ranaudo,2017,2017,1,1,519168,2014.0,2016.0,519168 (2014-2016),True
Anthony Swarzak,2015,2015,1,1,461872,2009.0,2021.0,461872 (2009-2021),True
Ariel Jurado,2023,2024,2,1,642558,2018.0,2020.0,642558 (2018-2020),True
Ariel Miranda,2021,2022,2,1,664641,2016.0,2018.0,664641 (2016-2018),True
Arnold Leon,2016,2016,1,1,504186,2015.0,2016.0,504186 (2015-2016),True
Arthur Lewicki,2021,2021,1,1,592499,,,,True
Beau Sulser,2023,2023,1,1,676641,2022.0,2022.0,676641 (2022-2022),True
Bennett Lively,2019,2021,3,1,594902,,,,True
Bo Takahashi,2021,2021,1,0,,,,,False
Brandon Waddell,2022,2024,3,1,663399,2020.0,2025.0,663399 (2020-2025),True
Braulio Lara,2016,2016,1,0,,,,,False
Brock Dykxhoorn,2019,2019,1,0,,,,,False
Brooks Raley,2015,2019,5,1,548384,2012.0,2026.0,548384 (2012-2026),True
Burch Smith,2023,2023,1,1,572143,2013.0,2026.0,572143 (2013-2026),True
Cam Alldred,2024,2024,1,1,682027,2022.0,2022.0,682027 (2022-2022),True
Carlos Villanueva,2017,2017,1,1,453646,2006.0,2016.0,453646 (2006-2016),True
Casey Kelly,2019,2024,6,1,543391,2012.0,2025.0,543391 (2012-2025),True
Chadwick Bell,2019,2020,2,1,518445,,,,True
Charlie Barnes,2022,2024,3,1,656212,2021.0,2026.0,656212 (2021-2026),True
Charlie Shirek,2015,2015,1,0,,,,,False
Chris Oxspring,2015,2015,1,1,430684,2005.0,2005.0,430684 (2005-2005),True
Chris Seddon,2015,2016,2,1,434629,2007.0,2012.0,434629 (2007-2012),True
Christian Friedrich,2019,2019,1,1,543184,2012.0,2016.0,543184 (2012-2016),True
Christopher Flexen,2020,2020,1,1,623167,,,,True
Collin Balester,2016,2016,1,1,444446,2008.0,2015.0,444446 (2008-2015),True
Connor Seabold,2024,2024,1,1,657756,2021.0,2026.0,657756 (2021-2026),True
Dan Straily,2020,2023,4,1,573185,2012.0,2019.0,573185 (2012-2019),True
Daniel Castano,2024,2024,1,1,641447,2020.0,2023.0,641447 (2020-2023),True
Daniel Mengden,2021,2021,1,1,596043,2016.0,2022.0,596043 (2016-2022),True
David Buchanan,2020,2023,4,1,571527,2014.0,2024.0,571527 (2014-2024),True
David Hale,2018,2018,1,1,571735,2013.0,2021.0,571735 (2013-2021),True
David Huff,2016,2017,2,1,453307,2009.0,2016.0,453307 (2009-2016),True
Deck McGuire,2019,2019,1,1,592547,2017.0,2018.0,592547 (2017-2018),True
Dennis Wright,2020,2020,1,1,605541,,,,True
Denyi Reyes,2024,2024,1,1,660593,2022.0,2023.0,660593 (2022-2023),True
Dietrich Enns,2024,2024,1,1,608650,2017.0,2026.0,608650 (2017-2026),True
Donn Roach,2017,2017,1,1,543698,2014.0,2016.0,543698 (2014-2016),True
