player_en,key_mlbam,bf,so,bb,ibb,h,hr,hbp,season
Lucas Harrell,449173,66,9,9,1,19,2,0,2014
Héctor Noesí,456051,735,123,56,1,180,28,2,2014
Ryan Feierabend,456387,36,4,2,1,12,0,0,2014
Josh Lindblom,458676,22,2,2,0,5,1,1,2014
Anthony Swarzak,461872,378,47,28,5,100,5,0,2014
Alexi Ogando,468396,122,22,15,1,33,1,1,2014
Sean Nolin,543594,4,0,0,0,1,1,0,2014
Allen Webster,543903,261,36,28,0,58,3,7,2014
David Buchanan,571527,503,71,32,2,120,12,8,2014
David Hale,571735,383,44,39,8,89,5,3,2014
Aaron Brooks,605156,24,2,3,0,12,1,2,2014
Drew Rucinski,607968,34,8,2,0,9,0,1,2014
Héctor Noesí,456051,154,22,17,1,41,7,1,2015
Anthony Swarzak,461872,61,13,4,1,18,1,0,2015
Alexi Ogando,468396,278,53,28,2,59,12,3,2015
Casey Kelly,543391,56,7,3,0,19,1,1,2015
Sean Nolin,543594,134,15,12,0,35,4,0,2015
Allen Webster,543903,142,17,20,1,32,10,2,2015
David Buchanan,571527,351,44,29,1,109,12,3,2015
Scott Copeland,571577,69,6,2,0,24,1,0,2015
David Hale,571735,346,61,20,2,95,14,2,2015
Aaron Brooks,605156,250,38,14,0,73,9,4,2015
Drew Rucinski,607968,36,4,6,0,10,1,1,2015
Lucas Harrell,449173,208,36,25,0,46,4,4,2016
Anthony Swarzak,461872,124,31,7,0,28,10,1,2016
Alexi Ogando,468396,148,29,23,5,32,2,1,2016
Casey Kelly,543391,102,7,7,3,30,1,2,2016
Albert Suárez,544150,356,54,26,5,84,11,4,2016
David Hale,571735,12,1,2,0,4,1,0,2016
Adrian Sampson,592716,21,2,1,0,8,2,0,2016
Daniel Mengden,596043,333,71,33,0,83,9,4,2016
Lucas Harrell,449173,34,6,4,0,10,1,0,2017
Josh Lindblom,458676,51,10,3,0,18,0,0,2017
Anthony Swarzak,461872,303,91,22,4,58,6,2,2017
Fabio Castillo,503566,8,2,1,0,3,0,0,2017
Tyler Cloyd,543031,4,1,0,0,2,0,0,2017
Albert Suárez,544150,135,34,11,2,28,4,1,2017
Seth Frankoff,571676,9,2,0,0,4,1,0,2017
Daniel Mengden,596043,169,29,9,0,36,6,0,2017
Erick Fedde,607200,76,15,8,2,25,5,1,2017
Drew Rucinski,607968,23,5,2,0,10,2,0,2017
Dietrich Enns,608650,21,2,1,0,7,2,0,2017
Ricardo Pinto,620982,146,25,17,1,39,7,1,2017
Anthony Swarzak,461872,117,31,14,0,28,6,1,2018
Alexi Ogando,468396,8,1,3,0,2,0,0,2018
Robert Stock,476594,166,38,13,1,37,1,2,2018
Tyler Cloyd,543031,87,13,10,2,25,3,1,2018
Casey Kelly,543391,104,16,5,1,28,3,1,2018
Allen Webster,543903,15,3,1,0,2,1,2,2018
Scott Copeland,571577,5,2,0,0,1,0,0,2018
David Hale,571735,62,8,5,0,16,3,1,2018
Burch Smith,572143,358,77,40,2,90,15,4,2018
Adrian Sampson,592716,96,15,4,0,24,6,2,2018
Daniel Mengden,596043,476,72,26,0,103,18,3,2018
Aaron Brooks,605156,10,1,2,0,1,0,0,2018
Andrew Suárez,605498,666,130,45,1,163,23,3,2018
Erick Fedde,607200,220,46,22,1,55,8,0,2018
Drew Rucinski,607968,154,27,13,4,34,2,4,2018
Elieser Hernández,622694,284,45,27,3,68,11,2,2018
Thomas Pannone,623381,181,29,15,0,37,7,2,2018
Eric Lauer,641778,504,100,46,2,127,15,6,2018
Héctor Noesí,456051,124,24,14,0,30,7,1,2019
Ryan Feierabend,456387,29,4,1,0,11,2,0,2019
Anthony Swarzak,461872,234,52,27,3,52,12,0,2019
Robert Stock,476594,56,15,8,0,14,2,1,2019
Merrill Kelly,518876,777,158,57,4,184,29,2,2019
Allen Webster,543903,52,9,5,2,14,2,1,2019
David Hale,571735,157,23,7,1,39,2,1,2019
Burch Smith,572143,106,20,14,2,26,3,1,2019
Adrian Sampson,592716,564,101,36,1,156,29,9,2019
Daniel Mengden,596043,262,42,27,0,59,7,0,2019
Aaron Brooks,605156,482,82,34,0,118,21,10,2019
Andrew Suárez,605498,148,25,14,2,39,7,1,2019
Erick Fedde,607200,334,41,33,2,81,11,2,2019
Ricardo Pinto,620982,13,0,2,0,4,1,0,2019
Elieser Hernández,622694,354,85,26,1,76,20,9,2019
Thomas Pannone,623381,325,69,31,1,73,13,6,2019
Shaun Anderson,641312,428,70,38,3,111,13,2,2019
Eric Lauer,641778,651,138,51,4,158,20,5,2019
Josh Lindblom,458676,192,52,16,0,42,6,3,2020
Robert Stock,476594,62,14,10,0,16,0,0,2020
Merrill Kelly,518876,125,29,5,1,26,5,1,2020
Brooks Raley,548384,84,27,6,0,13,3,4,2020
Seth Frankoff,571676,16,0,2,0,6,0,0,2020
David Hale,571735,75,14,4,0,23,2,0,2020
Burch Smith,572143,44,13,1,0,7,1,0,2020
Daniel Mengden,596043,58,10,7,0,14,2,1,2020
Andrew Suárez,605498,42,5,6,0,9,1,0,2020
Kyle Hart,606996,67,13,10,0,24,4,0,2020
Erick Fedde,607200,222,28,22,2,47,10,3,2020
Elieser Hernández,622694,106,34,5,0,21,5,2,2020
Shaun Anderson,641312,68,18,12,0,10,3,0,2020
Eric Lauer,641778,61,12,9,0,17,2,2,2020
Brandon Waddell,663399,14,2,2,0,2,0,0,2020
Josh Lindblom,458676,85,17,10,0,23,5,3,2021
Anthony Swarzak,461872,57,9,1,0,20,4,1,2021
Robert Stock,476594,45,9,9,0,10,3,1,2021
Merrill Kelly,518876,668,130,41,3,163,21,4,2021
Sean Nolin,543594,124,20,13,0,32,4,2,2021
Brooks Raley,548384,203,63,16,0,43,6,3,2021
Seth Frankoff,571676,74,11,9,0,20,4,2,2021
David Hale,571735,117,21,9,1,30,5,1,2021
Burch Smith,572143,188,28,11,0,49,5,1,2021
Adrian Sampson,592716,145,28,8,0,30,8,6,2021
Erick Fedde,607200,591,128,48,6,144,23,4,2021
Dietrich Enns,608650,88,25,6,0,17,1,0,2021
Elieser Hernández,622694,225,53,14,2,54,13,3,2021
Shaun Anderson,641312,124,19,12,1,36,4,2,2021
Eric Lauer,641778,489,117,41,1,94,16,2,2021
Charlie Barnes,656212,175,20,16,0,46,4,4,2021
Connor Seabold,657756,12,0,2,0,3,1,0,2021
Brandon Waddell,663399,51,7,9,0,14,2,0,2021
Merrill Kelly,518876,806,177,61,2,167,21,2,2022
Brooks Raley,548384,219,61,15,0,37,3,6,2022
Adrian Sampson,592716,429,73,27,0,101,10,2,2022
Daniel Mengden,596043,32,8,1,0,10,1,0,2022
Aaron Brooks,605156,43,7,2,0,11,3,1,2022
Erick Fedde,607200,574,94,58,0,149,21,0,2022
Elieser Hernández,622694,280,60,22,1,67,19,4,2022
Shaun Anderson,641312,7,0,0,0,4,0,0,2022
Eric Lauer,641778,662,157,59,0,135,27,2,2022
Connor Seabold,657756,97,19,7,0,35,5,3,2022
Merrill Kelly,518876,721,187,68,0,143,20,4,2023
Sean Nolin,543594,18,2,2,0,7,2,0,2023
Brooks Raley,548384,236,61,25,3,44,4,6,2023
Andrew Suárez,605498,130,17,15,0,33,7,0,2023
Drew Rucinski,607968,95,6,14,0,27,5,1,2023
Thomas Pannone,623381,14,4,1,0,5,0,0,2023
Eric Lauer,641778,211,43,24,0,54,16,0,2023
Enmanuel De Jesus,646241,34,5,4,0,9,0,3,2023
Connor Seabold,657756,408,67,28,1,116,19,7,2023
Merrill Kelly,518876,301,63,19,0,67,11,2,2024
Casey Kelly,543391,21,4,1,0,5,1,0,2024
Albert Suárez,544150,566,108,43,1,130,17,3,2024
Brooks Raley,548384,25,9,3,0,2,0,0,2024
David Buchanan,571527,14,1,2,0,2,0,0,2024
Burch Smith,572143,241,46,12,0,64,6,2,2024
Aaron Brooks,605156,119,12,8,0,33,4,1,2024
Erick Fedde,607200,726,154,52,0,154,20,5,2024
Ricardo Pinto,620982,59,8,5,0,19,2,2,2024
Elieser Hernández,622694,64,8,5,0,14,5,0,2024
Shaun Anderson,641312,85,10,1,0,34,3,1,2024
