player_en,player_ko,season,team,g,gs,ip,bf,h,hr,bb,ibb,so,hbp,er,source,verified_on
Aaron Brooks,애런 브룩스,2020,KIA,,,,,,,,,,,,,
Aaron Brooks,애런 브룩스,2021,KIA,,,,,,,,,,,,,
Adrian Sampson,애드리안 샘슨,2020,롯데,,,,,,,,,,,,,
Albert Suárez,앨버트 수아레즈,2022,삼성,,,,,,,,,,,,,
Albert Suárez,앨버트 수아레즈,2023,삼성,,,,,,,,,,,,,
Alexi Ogando,알렉시 오간도,2017,한화,,,,,,,,,,,,,
Allen Webster,앨런 웹스터,2016,삼성,,,,,,,,,,,,,
Andrew Suárez,앤드류 수아레즈,2021,LG,,,,,,,,,,,,,
Anthony Swarzak,앤서니 스와잭,2015,두산,,,,,,,,,,,,,
Brandon Waddell,브랜던 워델,2022,두산,,,,,,,,,,,,,
Brandon Waddell,브랜던 워델,2023,두산,,,,,,,,,,,,,
Brandon Waddell,브랜던 워델,2024,두산,,,,,,,,,,,,,
Brooks Raley,브룩스 레일리,2015,롯데,,,,,,,,,,,,,
Brooks Raley,브룩스 레일리,2016,롯데,,,,,,,,,,,,,
Brooks Raley,브룩스 레일리,2017,롯데,,,,,,,,,,,,,
Brooks Raley,브룩스 레일리,2018,롯데,,,,,,,,,,,,,
Brooks Raley,브룩스 레일리,2019,롯데,,,,,,,,,,,,,
Burch Smith,버치 스미스,2023,한화,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2019,LG,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2020,LG,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2021,LG,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2022,LG,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2023,LG,,,,,,,,,,,,,
Casey Kelly,케이시 켈리,2024,LG,,,,,,,,,,,,,
Charlie Barnes,찰리 반즈,2022,롯데,,,,,,,,,,,,,
Charlie Barnes,찰리 반즈,2023,롯데,,,,,,,,,,,,,
Charlie Barnes,찰리 반즈,2024,롯데,,,,,,,,,,,,,
Connor Seabold,코너 시볼드,2024,삼성,,,,,,,,,,,,,
Daniel Mengden,대니얼 멩덴,2021,KIA,,,,,,,,,,,,,
David Buchanan,데이비드 뷰캐넌,2020,삼성,,,,,,,,,,,,,
David Buchanan,데이비드 뷰캐넌,2021,삼성,,,,,,,,,,,,,
David Buchanan,데이비드 뷰캐넌,2022,삼성,,,,,,,,,,,,,
David Buchanan,데이비드 뷰캐넌,2023,삼성,,,,,,,,,,,,,
David Hale,데이비드 헤일,2018,한화,,,,,,,,,,,,,
Dietrich Enns,디트릭 엔스,2024,LG,,,,,,,,,,,,,
Drew Rucinski,드류 루친스키,2019,NC,,,,,,,,,,,,,
Drew Rucinski,드류 루친스키,2020,NC,,,,,,,,,,,,,
Drew Rucinski,드류 루친스키,2021,NC,,,,,,,,,,,,,
Drew Rucinski,드류 루친스키,2022,NC,,,,,,,,,,,,,
Elieser Hernández,엘리에이저 에르난데스,2024,LG,,,,,,,,,,,,,
Enmanuel De Jesus,엔마누엘 데 헤수스,2024,키움,,,,,,,,,,,,,
Eric Lauer,에릭 라우어,2024,KIA,,,,,,,,,,,,,
Erick Fedde,에릭 페디,2023,NC,,,,,,,,,,,,,
Fabio Castillo,파비오 카스티요,2016,한화,,,,,,,,,,,,,
Héctor Noesí,엑토르 노에시,2016,KIA,,,,,,,,,,,,,
Héctor Noesí,엑토르 노에시,2017,KIA,,,,,,,,,,,,,
Héctor Noesí,엑토르 노에시,2018,KIA,,,,,,,,,,,,,
Josh Lindblom,조쉬 린드블럼,2015,롯데,,,,,,,,,,,,,
Josh Lindblom,조쉬 린드블럼,2016,롯데,,,,,,,,,,,,,
Josh Lindblom,조쉬 린드블럼,2017,롯데,,,,,,,,,,,,,
Josh Lindblom,조쉬 린드블럼,2018,두산,,,,,,,,,,,,,
Josh Lindblom,조쉬 린드블럼,2019,두산,,,,,,,,,,,,,
Kyle Hart,카일 하트,2024,NC,,,,,,,,,,,,,
Lucas Harrell,루카스 하렐,2015,LG,,,,,,,,,,,,,
Merrill Kelly,메릴 켈리,2015,SK,,,,,,,,,,,,,
Merrill Kelly,메릴 켈리,2016,SK,,,,,,,,,,,,,
Merrill Kelly,메릴 켈리,2017,SK,,,,,,,,,,,,,
Merrill Kelly,메릴 켈리,2018,SK,,,,,,,,,,,,,
Ricardo Pinto,리카르도 핀토,2020,SK,,,,,,,,,,,,,
Robert Stock,로버트 스탁,2022,두산,,,,,,,,,,,,,
Ryan Feierabend,라이언 피어밴드,2015,넥센,,,,,,,,,,,,,
Ryan Feierabend,라이언 피어밴드,2016,KT,,,,,,,,,,,,,
Ryan Feierabend,라이언 피어밴드,2017,KT,,,,,,,,,,,,,
Ryan Feierabend,라이언 피어밴드,2018,KT,,,,,,,,,,,,,
Ryan Weiss,라이언 와이스,2024,한화,,,,,,,,,,,,,
Scott Copeland,스콧 코플랜드,2016,LG,,,,,,,,,,,,,
Sean Nolin,션 놀린,2022,KIA,,,,,,,,,,,,,
Seth Frankoff,세스 프랭코프,2018,두산,,,,,,,,,,,,,
Seth Frankoff,세스 프랭코프,2019,두산,,,,,,,,,,,,,
Shaun Anderson,숀 앤더슨,2023,KIA,,,,,,,,,,,,,
Thomas Pannone,토마스 파노니,2022,KIA,,,,,,,,,,,,,
Thomas Pannone,토마스 파노니,2023,KIA,,,,,,,,,,,,,
Tyler Cloyd,타일러 클로이드,2015,삼성,,,,,,,,,,,,,
