player_en,player_ko,season,team,g,gs,ip,bf,h,hr,bb,ibb,so,hbp,er,source,verified_on
Aaron Wilkerson,애런 윌커슨,2023,롯데,,,,,,,,,,,,,
Aaron Wilkerson,애런 윌커슨,2024,롯데,,,,,,,,,,,,,
Adam Plutko,아담 플럿코,2022,LG,,,,,,,,,,,,,
Adam Plutko,아담 플럿코,2023,LG,,,,,,,,,,,,,
Adonis Medina,아도니스 메디나,2023,KIA,,,,,,,,,,,,,
Alfredo Fígaro,알프레도 피가로,2015,삼성,,,,,,,,,,,,,
Andrew Gagnon,드류 가뇽,2020,KIA,,,,,,,,,,,,,
Andy Sisco,앤드루 시스코,2015,KT,,,,,,,,,,,,,
Anthony Ranaudo,앤서니 레나도,2017,삼성,,,,,,,,,,,,,
Ariel Jurado,아리엘 후라도,2023,키움,,,,,,,,,,,,,
Ariel Jurado,아리엘 후라도,2024,키움,,,,,,,,,,,,,
Ariel Miranda,아리엘 미란다,2021,두산,,,,,,,,,,,,,
Ariel Miranda,아리엘 미란다,2022,두산,,,,,,,,,,,,,
Arnold Leon,아놀드 레온,2016,삼성,,,,,,,,,,,,,
Arthur Lewicki,아티 르위키,2021,SSG,,,,,,,,,,,,,
Beau Sulser,보 슐서,2023,KT,,,,,,,,,,,,,
Cam Alldred,캠 알드레드,2024,KIA,,,,,,,,,,,,,
Carlos Villanueva,카를로스 비야누에바,2017,한화,,,,,,,,,,,,,
Chadwick Bell,채드 벨,2019,한화,,,,,,,,,,,,,
Chadwick Bell,채드 벨,2020,한화,,,,,,,,,,,,,
Chris Oxspring,크리스 옥스프링,2015,KT,,,,,,,,,,,,,
Chris Seddon,크리스 세든,2015,SK,,,,,,,,,,,,,
Chris Seddon,크리스 세든,2016,SK,,,,,,,,,,,,,
Christian Friedrich,크리스천 프리드릭,2019,NC,,,,,,,,,,,,,
Christopher Flexen,크리스 플렉센,2020,두산,,,,,,,,,,,,,
Collin Balester,콜린 벨레스터,2016,삼성,,,,,,,,,,,,,
Daniel Castano,다니엘 카스타노,2024,NC,,,,,,,,,,,,,
David Huff,데이비드 허프,2016,LG,,,,,,,,,,,,,
David Huff,데이비드 허프,2017,LG,,,,,,,,,,,,,
Deck McGuire,덱 맥과이어,2019,삼성,,,,,,,,,,,,,
Dennis Wright,마이크 라이트,2020,NC,,,,,,,,,,,,,
Denyi Reyes,데니 레예스,2024,삼성,,,,,,,,,,,,,
Donn Roach,돈 로치,2017,KT,,,,,,,,,,,,,
Eddie Butler,에디 버틀러,2019,NC,,,,,,,,,,,,,
Enderson Franco,앤더슨 프랑코,2021,롯데,,,,,,,,,,,,,
Eric Stout,에릭 스타우트,2024,KIA,,,,,,,,,,,,,
Eric Surkamp,에릭 서캠프,2016,한화,,,,,,,,,,,,,
Evan Meek,에반 믹,2015,KIA,,,,,,,,,,,,,
Félix Doubront,펠릭스 듀브론트,2018,롯데,,,,,,,,,,,,,
Glenn Sparkman,글렌 스파크맨,2022,롯데,,,,,,,,,,,,,
Ivan Nova,이반 노바,2022,SSG,,,,,,,,,,,,,
Jacob Turner,제이콥 터너,2019,KIA,,,,,,,,,,,,,
Jaime Barría,하이메 바리아,2024,한화,,,,,,,,,,,,,
Jake Thompson,제이크 톰슨,2019,롯데,,,,,,,,,,,,,
James Naile,제임스 네일,2024,KIA,,,,,,,,,,,,,
Jason Wheeler,제이슨 휠러,2018,한화,,,,,,,,,,,,,
Jeff Manship,제프 맨쉽,2017,NC,,,,,,,,,,,,,
Joe Wieland,조 윌랜드,2019,KIA,,,,,,,,,,,,,
Jordan Balazovic,조던 발라조빅,2024,두산,,,,,,,,,,,,,
Josh Stinson,조쉬 스틴슨,2015,KIA,,,,,,,,,,,,,
Justin Germano,저스틴 저마노,2015,KT,,,,,,,,,,,,,
Justin Haley,저스틴 헤일리,2019,삼성,,,,,,,,,,,,,
Keyvius Sampson,키버스 샘슨,2018,한화,,,,,,,,,,,,,
Kirk McCarty,커크 맥카티,2023,SSG,,,,,,,,,,,,,
Lisalverto Bonilla,리살베르토 보니야,2018,삼성,,,,,,,,,,,,,
Logan Verrett,로건 베렛,2018,NC,,,,,,,,,,,,,
Matthew Dermody,맷 더모디,2022,NC,,,,,,,,,,,,,
Michael Bowden,마이클 보우덴,2016,두산,,,,,,,,,,,,,
Michael Bowden,마이클 보우덴,2017,두산,,,,,,,,,,,,,
Mike Montgomery,마이크 몽고메리,2021,삼성,,,,,,,,,,,,,
Mitch Talbot,미치 탈보트,2015,한화,,,,,,,,,,,,,
Pat Dean,팻 딘,2017,KIA,,,,,,,,,,,,,
Pat Dean,팻 딘,2018,KIA,,,,,,,,,,,,,
Phil Irwin,필 어윈,2015,KT,,,,,,,,,,,,,
Philip Humber,필립 험버,2015,KIA,,,,,,,,,,,,,
Ricardo Sánchez,리카르도 산체스,2023,한화,,,,,,,,,,,,,
Ricardo Sánchez,리카르도 산체스,2024,한화,,,,,,,,,,,,,
Robert Coello,로버트 코엘로,2016,넥센,,,,,,,,,,,,,
Robert Dugger,로버트 더거,2024,SSG,,,,,,,,,,,,,
Roenis Elías,로에니스 엘리아스,2023,SSG,,,,,,,,,,,,,
Roenis Elías,로에니스 엘리아스,2024,SSG,,,,,,,,,,,,,
Ryan Carpenter,라이언 카펜터,2021,한화,,,,,,,,,,,,,
Ryan Carpenter,라이언 카펜터,2022,한화,,,,,,,,,,,,,
Sam Gaviglio,샘 가빌리오,2021,SSG,,,,,,,,,,,,,
Scott Diamond,스캇 다이아몬드,2017,SK,,,,,,,,,,,,,
Sean O'Sullivan,션 오설리반,2017,넥센,,,,,,,,,,,,,
Shane Youman,셰인 유먼,2015,한화,,,,,,,,,,,,,
Shawn Morimando,숀 모리만도,2022,SSG,,,,,,,,,,,,,
Sugar Marimon,슈가 마리몬,2016,KT,,,,,,,,,,,,,
Tanner Tully,태너 털리,2023,NC,,,,,,,,,,,,,
Taylor Widener,테일러 와이드너,2023,삼성,,,,,,,,,,,,,
Tim Adleman,팀 애들먼,2018,삼성,,,,,,,,,,,,,
Walker Lockett,워커 로켓,2021,두산,,,,,,,,,,,,,
Wang Wei-chung,왕웨이중,2018,NC,,,,,,,,,,,,,
Warwick Saupold,워윅 서폴드,2019,한화,,,,,,,,,,,,,
