player_en,key_mlbam,pa,ab,h,double,triple,hr,bb,ibb,so,hbp,sf,season
James Loney,425766,651,600,174,27,0,9,41,2,80,4,6,2014
Andy Marte,429708,16,16,3,0,0,1,0,0,3,0,0,2014
Brad Snyder,430957,34,30,5,1,0,2,4,0,10,0,0,2014
Jack Hannahan,435219,50,48,9,3,0,0,2,0,17,0,0,2014
Jim Adduci,451192,114,101,17,3,0,1,10,0,27,0,2,2014
Carlos Peguero,451713,10,9,2,1,0,0,1,0,5,0,0,2014
Justin Maxwell,452239,45,40,6,1,0,0,2,0,20,2,1,2014
Nick Evans,452783,23,22,6,2,0,2,1,0,10,0,0,2014
Jamie Romak,457449,23,21,1,1,0,0,2,0,8,0,0,2014
Nyjer Morgan,460579,52,41,14,1,0,1,7,0,6,0,1,2014
Roger Bernadina,465668,81,66,11,3,0,1,10,0,19,3,0,2014
Hector Gomez,467143,21,20,3,1,0,0,1,0,9,0,0,2014
Scott Van Slyke,475100,242,209,61,12,1,10,27,0,71,4,2,2014
Brandon Barnes,488681,314,292,75,17,4,8,15,0,100,0,0,2014
Xavier Scruggs,489305,18,15,3,1,0,0,2,0,7,1,0,2014
Luis Jimenez,499864,41,37,6,2,0,0,0,0,13,2,0,2014
Juan Lagares,501571,454,416,117,24,3,4,20,1,87,7,6,2014
Wilin Rosario,501647,410,382,102,25,0,13,23,5,70,0,5,2014
Zoilo Almonte,501660,36,36,5,0,0,1,0,0,14,0,0,2014
Jose Pirela,517369,25,24,8,1,2,0,1,0,4,0,0,2014
Jimmy Paredes,517370,65,63,18,4,0,2,2,0,16,0,0,2014
Andrew Brown,518500,49,44,8,1,0,2,3,0,15,1,1,2014
Jake Smolinski,519295,92,86,30,5,0,3,3,0,24,3,0,2014
Danny Worth,519445,46,42,7,1,0,0,2,0,12,1,1,2014
Hernan Perez,541650,6,5,1,0,0,0,1,0,1,0,0,2014
Christian Bethancourt,542194,117,113,28,3,0,0,3,0,26,1,0,2014
Jerry Sands,543742,22,21,4,0,0,1,0,0,6,1,0,2014
Aaron Altherr,571437,5,5,0,0,0,0,0,0,2,0,0,2014
Justin Bour,571506,83,74,21,3,0,1,9,1,19,0,0,2014
Darin Ruf,573131,117,102,24,8,0,3,8,0,32,4,2,2014
Michael Choice,574831,281,253,46,6,1,9,21,0,69,3,3,2014
Yasiel Puig,624577,632,548,162,36,9,16,67,3,120,11,1,2014
James Loney,425766,390,361,101,16,0,4,23,5,34,1,3,2015
Carlos Peguero,451713,90,75,14,4,0,4,13,0,37,1,1,2015
Justin Maxwell,452239,277,249,52,8,2,7,20,1,76,3,1,2015
Jamie Romak,457449,16,15,5,2,0,0,1,0,6,0,0,2015
Danny Dorn,457760,32,30,5,1,0,0,2,0,10,0,0,2015
Hector Gomez,467143,136,127,23,11,2,1,3,0,40,2,0,2015
Scott Van Slyke,475100,253,222,53,14,0,6,23,2,62,4,3,2015
Johnny Monell,476192,52,48,8,2,0,0,4,0,13,0,0,2015
Brandon Barnes,488681,281,255,64,13,2,2,21,3,67,3,1,2015
Xavier Scruggs,489305,44,42,11,2,0,0,0,0,10,1,0,2015
Luis Jimenez,499864,17,16,1,0,0,0,1,0,6,0,0,2015
Juan Lagares,501571,466,441,114,16,5,6,16,2,87,4,3,2015
Wilin Rosario,501647,242,231,62,14,1,6,8,2,56,1,1,2015
Jose Pirela,517369,78,74,17,3,0,1,2,0,16,0,1,2015
Jimmy Paredes,517370,384,363,100,17,2,10,19,0,111,0,2,2015
Jake Smolinski,519295,193,166,32,7,2,6,19,0,39,3,4,2015
Hernan Perez,541650,272,263,64,15,2,1,5,1,59,0,1,2015
