player_en,player_ko,season,team,pa,ab,h,double,triple,hr,bb,ibb,so,hbp,sf
Kim Do Yeong,김도영,2023,KIA,385,340,103,20,5,7,38,1,62,1,4
Kim Do Yeong,김도영,2024,KIA,625,544,189,29,10,38,66,7,110,7,7
Kim Do Yeong,김도영,2025,KIA,122,110,34,9,0,7,10,1,23,0,2
Roh Si Hwan,노시환,2023,Hanwha,595,514,153,30,1,31,74,5,118,4,3
Roh Si Hwan,노시환,2024,Hanwha,601,526,143,20,2,24,60,9,129,11,4
Roh Si Hwan,노시환,2025,Hanwha,624,539,140,28,2,32,70,10,125,11,4
Moon Hyun Bin,문현빈,2023,Hanwha,481,428,114,22,2,5,33,2,84,6,5
Moon Hyun Bin,문현빈,2024,Hanwha,289,260,72,16,2,5,24,1,53,2,2
Moon Hyun Bin,문현빈,2025,Hanwha,592,528,169,30,2,12,38,2,82,10,11
Kim Young Woong,김영웅,2023,Samsung,103,91,17,6,0,2,8,0,28,0,1
Kim Young Woong,김영웅,2024,Samsung,509,456,115,16,3,28,45,0,155,3,4
Kim Young Woong,김영웅,2025,Samsung,499,446,111,22,2,22,48,3,143,2,3
Song Sung Mun,송성문,2023,Kiwoom,438,388,102,16,3,5,39,5,38,0,7
Song Sung Mun,송성문,2024,Kiwoom,602,527,179,29,4,19,64,2,82,3,8
Song Sung Mun,송성문,2025,Kiwoom,646,574,181,37,4,26,68,5,96,1,3
Moon Bo Gyeong,문보경,2023,LG,542,469,141,29,5,10,58,2,83,2,4
Moon Bo Gyeong,문보경,2024,LG,602,519,156,35,3,22,65,3,112,2,13
Moon Bo Gyeong,문보경,2025,LG,607,515,142,21,1,24,79,3,108,4,9
Yoon Dong Hee,윤동희,2023,Lotte,423,387,111,18,1,2,28,0,69,1,5
Yoon Dong Hee,윤동희,2024,Lotte,613,532,156,35,4,14,67,1,114,7,5
Yoon Dong Hee,윤동희,2025,Lotte,399,330,93,21,1,9,49,2,65,11,6
Kim Ju Won,김주원,2023,NC,474,403,94,9,2,10,44,1,106,15,4
Kim Ju Won,김주원,2024,NC,475,385,97,18,2,9,51,1,111,25,5
Kim Ju Won,김주원,2025,NC,624,539,156,26,8,15,63,1,111,16,2
Ahn Hyun Min,안현민,2024,KT,29,25,5,0,1,1,2,0,10,1,1
Ahn Hyun Min,안현민,2025,KT,482,395,132,19,4,22,75,5,72,9,3
Lee Ju Hyoung,이주형,2023,Kiwoom,243,215,70,13,4,6,19,2,53,5,2
Lee Ju Hyoung,이주형,2024,Kiwoom,537,473,126,19,3,13,49,1,119,14,1
Lee Ju Hyoung,이주형,2025,Kiwoom,514,446,107,22,1,11,37,2,115,28,0
Park Seong Han,박성한,2023,SSG,529,459,122,19,0,9,58,1,56,1,4
Park Seong Han,박성한,2024,SSG,564,489,147,24,0,10,64,3,86,2,6
Park Seong Han,박성한,2025,SSG,538,452,124,23,2,7,79,1,93,3,2
Kim Ji Chan,김지찬,2023,Samsung,355,291,85,4,2,1,48,0,36,9,0
Kim Ji Chan,김지찬,2024,Samsung,535,453,143,16,3,3,60,2,40,9,1
Kim Ji Chan,김지찬,2025,Samsung,373,317,89,9,2,0,38,0,44,5,3
Kim Seong Yoon,김성윤,2023,Samsung,272,245,77,4,6,2,14,0,35,4,5
Kim Seong Yoon,김성윤,2024,Samsung,89,74,18,4,0,0,9,0,16,1,2
Kim Seong Yoon,김성윤,2025,Samsung,538,456,151,29,9,6,65,0,54,5,2
